Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.183,0.249,0.228,0.166,0.140,0.178,0.204,0.232,0.314,0.453,0.632,0.747,0.883,0.675,0.768,0.756,0.807,0.960,1.000,0.710,0.592,0.626,0.710,0.774,0.707,0.763,0.821
Belize,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.003,0.003,0.003,0.000,0.000,0.000,0.004,0.005,0.005,0.005,0.006,0.008,0.008,0.008,0.009,0.000,0.000,0.007,0.007,0.008,0.009,0.009,0.011,0.012,0.014,0.019,0.017,0.015,0.015,0.015,0.018,0.020,0.020,0.022,0.023,0.023,0.024,0.026,0.025,0.024
Bermuda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bolivia,0.000,0.005,0.005,0.006,0.000,0.000,0.000,0.000,0.012,0.012,0.017,0.016,0.021,0.021,0.040,0.058,0.067,0.073,0.098,0.120,0.159,0.239,0.124,0.090,0.145,0.131,0.093,0.103,0.093,0.102,0.137,0.144,0.141,0.110,0.135,0.141,0.147,0.180,0.229,0.177,0.173,0.189,0.157,0.173,0.166,0.164,0.168,0.195,0.327,0.305,0.336,0.404,0.500,0.565,0.626,0.581,0.519,0.574,0.603,0.593,0.510,0.570,0.640
Brazil,0.383,0.342,0.387,0.442,0.354,0.633,0.718,0.746,0.755,0.817,1.026,1.075,1.196,1.513,1.790,2.141,2.576,2.500,2.691,2.829,2.259,2.518,3.031,2.083,2.013,2.687,2.758,4.324,5.874,8.761,9.236,6.695,4.994,7.100,10.591,14.319,14.073,13.934,14.357,9.867,11.344,10.930,9.665,8.393,9.780,13.589,16.405,20.486,24.453,25.649,34.003,36.936,33.987,32.875,32.660,24.618,24.225,29.262,28.177,25.907,19.591,19.187,20.211
Barbados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brunei Darussalam,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.097,0.102,0.110,0.104,0.178,0.186,0.231,0.245,0.252,0.234,0.262,0.286,0.328,0.369,0.294,0.258,0.244,0.218,0.226,0.243,0.199,0.249,0.293,0.323,0.362,0.350,0.391,0.415,0.411,0.412,0.528,0.424,0.403,0.347,0.358,0.415,0.437,0.453,0.436
Bhutan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Botswana,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.014,0.024,0.032,0.031,0.024,0.024,0.026,0.021,0.034,0.074,0.094,0.103,0.156,0.172,0.178,0.186,0.170,0.166,0.141,0.161,0.181,0.170,0.185,0.210,0.224,0.301,0.314,0.284,0.273,0.306,0.332,0.330,0.349,0.363,0.327,0.306,0.346,0.384,0.514,0.522,0.498,0.515,0.499,0.537,0.489
Central African Republic,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.023,0.019,0.011,0.013,0.012,0.000,0.000,0.000,0.000,0.000,0.011,0.015,0.015,0.015,0.000,0.019,0.032,0.036,0.052,0.050,0.043,0.048,0.038,0.027,0.027,0.028,0.031,0.041,0.044,0.056,0.042
